X:1276 Y:588 DeltaX:-596 DeltaY:-47
X:1263 Y:586 DeltaX:-13 DeltaY:-2
X:1256 Y:585 DeltaX:-7 DeltaY:-1
X:1252 Y:585 DeltaX:-4 DeltaY:0
X:1238 Y:583 DeltaX:-14 DeltaY:-2
X:1234 Y:582 DeltaX:-4 DeltaY:-1
X:1229 Y:582 DeltaX:-5 DeltaY:0
X:1222 Y:581 DeltaX:-7 DeltaY:-1
X:1217 Y:580 DeltaX:-5 DeltaY:-1
X:1199 Y:578 DeltaX:-18 DeltaY:-2
X:1193 Y:578 DeltaX:-6 DeltaY:0
X:1188 Y:577 DeltaX:-5 DeltaY:-1
X:1181 Y:576 DeltaX:-7 DeltaY:-1
X:1176 Y:574 DeltaX:-5 DeltaY:-2
X:1170 Y:573 DeltaX:-6 DeltaY:-1
X:1164 Y:572 DeltaX:-6 DeltaY:-1
X:1160 Y:570 DeltaX:-4 DeltaY:-2
X:1139 Y:567 DeltaX:-21 DeltaY:-3
X:1133 Y:566 DeltaX:-6 DeltaY:-1
X:1127 Y:564 DeltaX:-6 DeltaY:-2
X:1122 Y:564 DeltaX:-5 DeltaY:0
X:1119 Y:563 DeltaX:-3 DeltaY:-1
X:1113 Y:562 DeltaX:-6 DeltaY:-1
X:1109 Y:561 DeltaX:-4 DeltaY:-1
X:1103 Y:560 DeltaX:-6 DeltaY:-1
X:1099 Y:558 DeltaX:-4 DeltaY:-2
X:1094 Y:557 DeltaX:-5 DeltaY:-1
X:1089 Y:557 DeltaX:-5 DeltaY:0
X:1084 Y:556 DeltaX:-5 DeltaY:-1
X:1080 Y:555 DeltaX:-4 DeltaY:-1
X:1076 Y:553 DeltaX:-4 DeltaY:-2
X:1071 Y:553 DeltaX:-5 DeltaY:0
X:1067 Y:551 DeltaX:-4 DeltaY:-2
X:1063 Y:551 DeltaX:-4 DeltaY:0
X:1058 Y:549 DeltaX:-5 DeltaY:-2
X:1052 Y:547 DeltaX:-6 DeltaY:-2
X:1048 Y:547 DeltaX:-4 DeltaY:0
X:1046 Y:546 DeltaX:-2 DeltaY:-1
X:1042 Y:545 DeltaX:-4 DeltaY:-1
X:1037 Y:544 DeltaX:-5 DeltaY:-1
X:1034 Y:543 DeltaX:-3 DeltaY:-1
X:1030 Y:542 DeltaX:-4 DeltaY:-1
X:1025 Y:540 DeltaX:-5 DeltaY:-2
X:1023 Y:539 DeltaX:-2 DeltaY:-1
X:1018 Y:538 DeltaX:-5 DeltaY:-1
X:1017 Y:538 DeltaX:-1 DeltaY:0
X:1014 Y:537 DeltaX:-3 DeltaY:-1
X:1003 Y:533 DeltaX:-11 DeltaY:-4
X:1000 Y:532 DeltaX:-3 DeltaY:-1
X:997 Y:531 DeltaX:-3 DeltaY:-1
X:991 Y:529 DeltaX:-6 DeltaY:-2
X:989 Y:527 DeltaX:-2 DeltaY:-2
X:987 Y:527 DeltaX:-2 DeltaY:0
X:984 Y:526 DeltaX:-3 DeltaY:-1
X:981 Y:525 DeltaX:-3 DeltaY:-1
X:979 Y:524 DeltaX:-2 DeltaY:-1
X:977 Y:523 DeltaX:-2 DeltaY:-1
X:974 Y:522 DeltaX:-3 DeltaY:-1
X:972 Y:521 DeltaX:-2 DeltaY:-1
X:970 Y:520 DeltaX:-2 DeltaY:-1
X:968 Y:520 DeltaX:-2 DeltaY:0
X:966 Y:519 DeltaX:-2 DeltaY:-1
X:964 Y:518 DeltaX:-2 DeltaY:-1
X:961 Y:517 DeltaX:-3 DeltaY:-1
X:960 Y:517 DeltaX:-1 DeltaY:0
X:958 Y:517 DeltaX:-2 DeltaY:0
X:956 Y:516 DeltaX:-2 DeltaY:-1
X:953 Y:515 DeltaX:-3 DeltaY:-1
X:952 Y:515 DeltaX:-1 DeltaY:0
X:951 Y:515 DeltaX:-1 DeltaY:0
X:948 Y:514 DeltaX:-3 DeltaY:-1
X:946 Y:513 DeltaX:-2 DeltaY:-1
X:944 Y:512 DeltaX:-2 DeltaY:-1
X:943 Y:512 DeltaX:-1 DeltaY:0
X:940 Y:511 DeltaX:-3 DeltaY:-1
X:938 Y:511 DeltaX:-2 DeltaY:0
X:935 Y:510 DeltaX:-3 DeltaY:-1
X:934 Y:510 DeltaX:-1 DeltaY:0
X:932 Y:509 DeltaX:-2 DeltaY:-1
X:929 Y:509 DeltaX:-3 DeltaY:0
X:928 Y:509 DeltaX:-1 DeltaY:0
X:925 Y:508 DeltaX:-3 DeltaY:-1
X:923 Y:508 DeltaX:-2 DeltaY:0
X:921 Y:508 DeltaX:-2 DeltaY:0
X:920 Y:507 DeltaX:-1 DeltaY:-1
X:918 Y:507 DeltaX:-2 DeltaY:0
X:915 Y:507 DeltaX:-3 DeltaY:0
